RK,Player,Team,Position,AVG,Min,Max
428,Colby Parkinson,SEA ,TE,362.0,362.0,362.0
429,Jamal Agnew,JAC ,WR,378.0,365.0,391.0
430,Brandon Bolden,LV ,RB,364.0,364.0,364.0
431,Wayne Gallman Jr.,FA ,RB,364.0,364.0,364.0
432,Keelan Cole Sr.,LV ,WR,364.0,364.0,364.0
433,Tyler Davis,GB ,TE,366.0,366.0,366.0
434,Zonovan Knight,NYJ ,RB,366.0,366.0,366.0
435,David Johnson,FA ,RB,368.0,368.0,368.0
436,Charlie Kolar,BAL ,TE,369.0,369.0,369.0
437,Teddy Bridgewater,MIA ,QB,370.0,370.0,370.0
438,Phillip Dorsett II,HOU ,WR,370.0,370.0,370.0
439,Jaret Patterson,WAS ,RB,370.0,370.0,370.0
440,Denzel Mims,NYJ ,WR,372.0,372.0,372.0
441,KhaDarel Hodge,ATL ,WR,373.0,373.0,373.0
442,Ashton Dulin,IND ,WR,374.0,374.0,374.0
443,Dezmon Patmon,IND ,WR,375.0,375.0,375.0
444,Ryan Griffin,CHI ,TE,376.0,376.0,376.0
445,Tevin Coleman,NYJ ,RB,377.0,377.0,377.0
446,Dee Eskridge,SEA ,WR,378.0,378.0,378.0
447,Preston Williams,MIA ,WR,379.0,379.0,379.0
448,Kendall Hinton,DEN ,WR,379.0,379.0,379.0
